"Monday March 27 2006","3 : 00 4 : 30 pm","210 Illini Union","The Job Search Consult","This workshop discuss consult job search strategi grad student It inform begin organ job search strategi effect research organ find help resourc"
"Thursday Novemb 19 2009","12 : 00 pm","2405 Siebel Center","Engineer Resid : Jen Mozen ThoughtWork","Titl : Consult : Unplug Abstract : What consult For term conjur imag sharpli dress strateg advisor swoop client immin disast – Jame Bond arm laptop laser fire wrist watch In realiti consult profession problem solver problem face mission critic rare tuxedo high speed chase involv As Princip Consult ThoughtWork Jen help client shape size world success leverag technolog improv busi Jen help demystifi life consult offer advic student contempl career consult Bio : Jen Mozen Princip Consult ThoughtWork global IT consult provid system develop consult transform servic product Global 1000 compani Dure 8 year ThoughtWork Jen play varieti role : Support Manag Busi Analyst Project Manag Global Operat Manag Assisstant COO Director Peopl Client Princip She opportun live London travel world visit ThoughtWork offic client Australia Canada China India Scotland Spain Jen start career Procter & Gambl Cincinnati part team roll company’ intranet platform She led develop intranet applic consult varieti differ busi group develop intranet strategi A year later Jen got swoop dot com craze join internet startup call PlanetFeedback manag develop team Jen receiv Bachelor’ degre Comput Scienc concentr Internat Econom Univers Illinoi – Urbana Champaign She heavili involv student activ campus serv Presid Societi Women Engineer Public Director EOH Engineer Learn Assistant Jen name Senior 100 Honorari receiv Duncan H Lawri Award Leadership name Knight St Patrick"
"Thursday Januari 28 2010","6 : 00 pm","2405 Siebel Center","JumpTrad Tech Talk","Pleas check back detail"
"Tuesday Februari 02 2010","All Day","1st Floor Atrium Siebel Center","Qualcomm Corpor Day","Pleas check back inform"
"Monday Februari 08 2010","7 : 00 pm","2405 Siebel Center","Facebook Tech Talk","Interest it impact 350 million peopl We look talent Illini comput scientist internship full time opportun Join Facebook team Illinoi alum Dan Muriello Gint Woss inform talk search product work keep site safe user RSVP @ www.facebook.com illinoistechtalk Food drink provid"
"Tuesday Februari 09 2010","5 : 00 7 : 00 pm","1st Floor Atrium Siebel Center","TCC After Hour","It person connect drop resum fight crowd Meet compani hire relax set Enjoy hor d'oeuvr Chat compani repres Discov challeng opportun await No resum No booth No crowd No collar shirt Just compani hire convers food drink Space limit Regist http : go.illinois.edu AfterHours10 For complet list compani attend visit The Corpor Connect websit you CS ECE student But CS ECE student Well CORPORATE PARTNERS Oh cater But that Serious"
"Wednesday Februari 10 2010","5 : 30 pm","2405 Siebel Center","Googl Tech Talk","Googl mission organ world inform make univers access use It enorm goal accomplish great peopl help achiev At Googl A lot Come learn Googl meet Googler excit event:Tuesday Februari 10Tech Talk5 : 30 6 : 30pmSiebel 2405Speaker : Angela Lai Engineer Director Googl AdWordsWe'r look internship full time opportun 2010 Visit www.google.com student submit applic today Pleas contact Jessica Bagley jbagley @ google.com question"
"Thursday Februari 11 2010","5 : 30 pm","2405 Siebel Center","Lawrenc Livermor Nation Lab Tech Talk",""
"Thursday Februari 18 2010","5 : 30 pm","2405 Siebel Center","Challeng High Perform Massiv Scale Data Mine Facebook given Data Scientist UIUC Alum Denni DeCost","The user Facebook generat largest uniqu stream data world aris 400 million activ user view fan share click billion page photo ad month Scale system algorithm effect store process massiv data present enorm excit engin challeng It present uniqu opportun motiv inspir test new idea best har mine larg social behavior data set improv overal experi Facebook user In talk overview challeng opportun We discuss engin compon enabl ongo larg scale machin learn research develop effort wide varieti Facebook product work impact news feed ad search friend recommend spam detection.Speak : Denni DeCost ( UIUC Alum FB Data Scientist ) We'll food drink favor RSVP know expect Also add friend event think interest This target graduat student faculti technic talk.W look"
"Wednesday March 03 2010","7 : 00 pm","2405 Siebel Center","Googl Tech Talk","Googl A Corpor Connect Partner Wednesday March 3 7pm 2405 Siebel Center Jason Cooper Develop Program Engineer Googl discuss varieti Googl APIs develop product avail explor greater detail exampl show wild"
"Friday April 30 2010","2 : 30 pm","2nd Floor Atrium","Undergradu Research Symposium Poster Session","The 2010 Undergradu Research Symposium showcas research opportun undergradu Comput Scienc Illinoi The symposium poster session confer style present session two submiss chosen yahoo Best Undergradu Research Project"
"Friday April 30 2010","5 : 00 pm","1404 Siebel Center","Depart Comput Scienc Award Ceremoni","Honor outstand accomplish comput scienc student faculti"
"Monday August 23 2010","9 : 00 4 : 00 pm","Siebel Center Atrium","Technolog Servic Group ( TSG ) Open Hous","Stop TSG tabl Siebel Center Atrium find comput resourc avail CS undergrad grad student"
"Friday Septemb 03 2010","11 : 30 12 : 30 pm","2405 Siebel Center","Engineer In Resid Sizhao Zao yang","Bio : Sizhao “ Zao ” yang CEO co founder MyMiniLif MyMiniLif allow user express physic life web creat virtual home Zao co creat popular Facebook game Farmvill MyMiniLif technolog Farmvill 80 million month activ user won best social game DICE GDC crunchi Zao current work Corpor Develop Strategi Zynga Office hour 8 : 45 11 : 15am Regist offic hour http : go.cs.illinois.edu ZaoOneonOn Regist : http : go.cs.illinois.edu ZaoEIR"
"Tuesday Septemb 07 2010","All Day","Siebel Center","State Farm Corpor Day","Stop State Farm booth Siebel Center Atrium 11 4 Come room 2405 Siebel Center 6pm Discov State Farm IT Papa Del provid"
"Wednesday Septemb 08 2010","6 : 00 pm","2405 Siebel Center","JumpTrad Tech Talk : Reduc Latenc Algorithm Trade","Learn More Jump approach reduc latenc algorithm trade Free pizza Papa Del Learn www.jumptrading.com"
"Thursday Septemb 09 2010","All Day","2405 Siebel Center","Googl Corpor Day","Googl mission organ world inform make univers access use It enorm goal accomplish great peopl help achiev At Googl A lot more.Com learn Googl meet Googler excit event When : Thursday Septemb 9thWhere : Siebel 2405 Resum Interview Workshop : 5 : 30pm 6 : 30pm Get insight look resum & tip interview Lightn Tech Talk : 7pm 8pm Come hear excit engin project Pleas sign event RSVP form RSVPing help know peopl order food welcom We hire : Pleas visit google.com student eng view job opportun submit resum today We host campus interview full time softwar engin role Septemb 30th To consid campus interview pleas submit resum onlin Septemb 17th The summer 2011 intern applic avail onlin soon you stay touch check Googl Student blog follow Twitter ( @ googlestud ) view student youTub channel learn interview process"
"Tuesday Septemb 14 2010","All Day","Siebel Center","Cisco Corpor Day","Pleas check back inform"
"Wednesday Septemb 15 2010","5 : 00 7 : 00 pm","1st Floor Siebel Center","The Corpor Connect After Hour","An career recept yOU What : Informal career recept exclus CS ECE student When : Septemb 15 2010 5 7 p.m ( Day 1 Engineer Career Servic Career Fair ) Where : Thoma M Siebel Center Comput Scienc Atrium It person connect drop resum fight crowd Meet compani hire relax set Enjoy hor d'oeuvr Chat compani repres Discov challeng opportun await No resum No booth No crowd No collar shirt Just compani hire convers food drink Space limit Regist http : go.illinois.edu AfterHours10 For complet list compani attend visit The Corpor Connect websit you CS ECE student But CS ECE student Well CORPORATE PARTNERS Oh cater But that Serious"
"Tuesday Septemb 21 2010","6 : 30 pm","2405 Siebel Center","Microsoft : Meet Compani","Meet Compani Present Alumni Recruit Former Intern Present Tuesday Septemb 21 2010 2405 Siebel Center 6 : 30 8 : 00pm Free food XBOX 360 giveaway prize Bring resum"
"Wednesday Septemb 22 2010","5 : 30 pm","2405 Siebel Center","Cazoodl Info Session","Hire Softwar Engineer Join forc build generat Web search engin What ’ s See live demo novel search engin Talk brilliant engin team Submit Resum cours Get Hire Full time Part time hour Summer Internship Eat Pizza We understand … student long ago More Cazoodl : Cazoodl web search compani found Dr Kevin Chang faculti Comput Scienc Depart UIUC team graduat student The compani special build new kind search engin serv user need special domain The current applic search engin Apartment Rental Electron Shop Vacat Hous Sever applic pipelin The compani commerci Data Factori technolog support web data gather need enterpris custom US Armi largest media compani Brazil The compani base Research Park Champaign Illinoi job @ cazoodle.com www.cazoodle.com"
"Monday Septemb 27 2010","9 : 00 5 : 00 pm","1st Floor Siebel Center","Wolfram Research Corpor Day","Stop atrium begin 9am See Mathematica Wolfram | Alpha Demonstr Grab Snack & Spin Prize Ask HR Recruit & Senior Technic Staff your Question There draw free iPad even Tech Talk"
"Monday Septemb 27 2010","5 : 30 pm","1404 Siebel Center","Wolfram Research Tech Talk","Q & A Session draw free iPad"
"Wednesday Septemb 29 2010","5 : 00 6 : 00 pm","1404 Siebel Center","Big Data Futur Internet Scale Cloud Comput","Today click yahoo reli company’ massiv cloud comput infrastructur Hundr yahoo Web site visit 600 million user worldwid month produc massiv pipelin Big Data incred busi valu Process transform data key creat increas relev Internet experi peopl world This talk explor emerg trend challeng industri face cloud comput adopt continu sharp increas Look futur yahoo ’ s vision cloud close intertwin open sourc comput Today key compon yahoo ’ s cloud avail open sourc communiti futur stack donat yahoo ’ s cloud team partnership scientist yahoo Lab deploy world’ largest Hadoop implement creat foundat person meaning Web Raghu Ramakrishnan Chief Scientist Audienc Cloud Comput yahoo yahoo Fellow head Web Informat Manag research group His work databas system focus data mine queri optim web scale data manag influenc queri optim commerci databas system design window function SQL : 1999 His paper Birch cluster algorithm receiv SIGMOD 10 year Test Time award written wide text Databas Manag System ( Johann Gehrk ) Ramakrishnan receiv award ACM SIGKDD Innovat Award ACM SIGMOD Contribut Award Distinguish Alumnus Award IIT Madra Packard Foundat Fellowship Scienc Engineer NSF Presidenti young Investig Award He Fellow ACM IEEE Ramakrishnan Board Director ACM SIGKDD past Chair ACM SIGMOD Board Truste VLDB Endowment He Professor Comput Scienc Univers Wisconsin Madison founder CTO QUIQ compani pioneer question answer communiti power Ask Jeev AnswerPoint custom support compani Compaq"
"Monday October 11 2010","5 : 30 pm","1404 Siebel Center","The Inside Stori New Initiat Wolfram Research",""
"Monday October 11 2010","7 : 00 pm","2405 Siebel Center","Zynga Informat Session",""
"Wednesday October 13 2010","6 : 00 pm","2405 Siebel Center","Palantir","DITCH THE SUIT BE THE TRACK JACKET Pleas join Ari Gesher Senior Softwar Engineer Palantir Technolog discuss Palantir revolution analysi hard import problem face world today View live demo softwar learn part mission IPAD RAFFLE AND PAPA DEL'S"
"Thursday October 14 2010","12 : 00 pm","2405 Siebel Center","Engineer Resid : Andrew Brook","Andrew give talk 12 1 hold offic hour 1 : 30 4 To RSVP talk pleas : http : go.cs.illinois.edu BrookEIR To regist offic hour pleas http : go.cs.illinois.edu BrookOneonOn Andrew Brook Chief Technolog Officer Seler technolog start focus real time event data financi servic industri Andrew respons overal architectur develop strategi firm’ technolog infrastructur oper Immediat prior Seler Andrew Execut Director respons Morgan Stanley’ foreign exchang ( FX ) e commerc platform provid low latenc price execut servic firm client Previous Morgan Stanley Andrew manag FX Prime Brokerag Technolog FX Electron Trade Technolog Market Risk Technolog team Global Corpor Investment Bank divis Bank America Andrew co founder earli stage ventur deliv innov schedul softwar agil manufactur sector In free time Andrew avid follow develop field climat scienc energi technolog public polici enjoy spend time famili outdoor Andrew hold B.S Comput Scienc Univers Illinoi Urbana Champaign live wife daughter Jersey Citi NJ"
"Thursday October 14 2010","5 : 30 pm","2405 Siebel Center","IGT Tech Talk",""
"Thursday October 21 2010","4 : 00 7 : 00 pm","Siebel Center Room 2405","Celbrat Mind : Gather Gardner Siebel Center","Celebr Mind : Gather Gardner Siebel Center October 21 Martin Gardner 96th birthday More 50 worldwid event held celebr detail : http : g4g com.org The Urbana Champaign area event held Siebel Center room 2405 4 7pm It open general public Speaker peopl UIUC Wolfram Research give varieti short present interest mathemat Here puzzl Martin pose column Mathemat Game ran Scientif American : 1 Arrang squar size 1 24 70x70 squar 2 Arrang letter 4x4 grid 20 4 letter word left right diagon 3 How color need color map We page tabl Anyon desir bring 50 copi page content relev event ( short math puzzl ) This quick way peopl share work We hope Answer question : 1 Proven imposs Edward M Reingold Jame Bitner UIUC Also found solut 7x7 squar 2 Solv L E Card UIUC S N A P A E R A R A I L T R A P 3 Proven 4 Wolfgang Haken Kenneth Appel UIUC"
"Saturday October 23 2010","12 : 00 pm","0216 Siebel","ACM Gamebuild A Thon","Join ACM Gamebuild Gamebuild A Thon 12 hour design program competit On Saturday October 23 start 12 noon work team three make variat platform game written Flash ActionScript Go http : acm.uiuc.edu gamebuild sign Dinner sponsor Zynga prize sponsor Microsoft"
"Thursday October 28 2010","3 : 00 pm","B02 Coordin Scienc Lab","Special Seminar : What Billion Transistor","The concept multiprocess new It year But given concept rebirth advanc integr circuit technolog We confid say abl put billion transistor piec silicon We call System Chip ( SoC ) But realiz discov good This talk look multiprocess multicor call highlight good difficulti face new world option Gene FrantzTI Princip FellowTexa InstrumentsGen Frantz Texa Instrument thirti year work primarili digit signal process ( DSP ) He recogn leader DSP technolog TI industri He Fellow IEEE hold 45 patent area memori speech consum product DSP He written 50 paper articl regular present univers confer worldwid"
"Friday October 29 2010","2 : 00 pm","3403 Siebel Center","Mobil Argument Realiti Pedestrian Navig","Matei StroilaSenior Research Scientist NAVTEQandInstructor CS498 Mobil Augment Realiti Pedestrian Navig Spring 2011Abstract : With recent advanc mobil phone technolog augment realiti ( AR ) applic increas popular In talk I go present survey recent technolog facilit develop AR pedestrian navig applic : geo referenc data ( LiDAR point cloud panoram imag depth inform topolog map ) algorithm visual navig mobil devic vision engin natur featur detect track video data captur phone camera.Bio : Matei Stroila Senior Research Scientist NAVTEQ Chicago subsidiari Nokia He receiv Ph.D mathemat 2001 Univers Southern California join Univers Virginia research assist professor work medic imag In 2004 came Illinoi pick M.S postdoc comput scienc work computer illustr medic model method He join NAVTEQ 2006 continu collabor Univers Illinoi support research arrang NAVTEQ scan vehicl scan campus recent teach CS498 Mobil Augment Realiti Pedestrian Navig ( 55129 ) offer Spring Friday 1 : 00 3 : 50pm"
"Monday Novemb 01 2010","7 : 00 pm","2405 Siebel","Brian Graham Sr Develop Director EA Game",""
"Thursday Novemb 04 2010","5 : 30 pm","2405 Siebel Center","Harri Shum Microsoft : Bing Dialog Model : Intent Knowledg User Interact","Bing Dialog Model : Intent Knowledg User Interactionwith Harri Shum Corpor VP Search Product Develop Microsoft With Internet user grow sophist decad old search outcom manifest ten blue link longer suffici Mani studi user usher convent search result page need partial met To tackl challeng optim Bing Microsoft decis engin navig user land page blue link continu engag user facilit task complet Under new paradigm Bing Dialog Model consist three build block : index system systemat comprehens harvest task knowledg web intent model statist infer match user need task knowledg interact model elicit user intent mathemat optim present In talk Ill describ Bing Dialog Model detail demonstr action innov featur recent introduc Bing About Harri ShumHarri Shum corpor vice presid respons search product develop Microsoft Corp Previous oversaw research activ Microsoft Research Asia lab collabor univers Asia Pacif region respons Internet Servic Research Center appli research organ dedic long term short term technolog invest search advertis Microsoft Shum join Microsoft Research 1996 research base Redmond Wash He move Beij found member Microsoft Research China ( later renam Microsoft Research Asia ) There began nine tenur research manag subsequ move assist manag director manag director Microsoft Research Asia Distinguish Engineer corpor vice presid Shum Institut Electric Electron Engineer Fellow Associat Comput Machineri Fellow contribut comput vision comput graphic He publish 100 paper comput vision comput graphic pattern recognit statist learn robot He hold 50 U.S patent"
"Saturday Novemb 06 2010","All Day","2405 Siebel Center","Microsoft Colleg Puzzl Challeng","The Microsoft Colleg Puzzl Challeng annual puzzl solv competit held simultan 20 campus North America Team race solv puzzl prize ( glori ) go fastest team locat overal The end near help Regist www.collegepuzzlechallenge.com This we'v got sneak suspicion apocalyps destroy life know your job solv puzzl find clue piec Onli ( teammat ) prevent apocalyps"
"Thursday Novemb 18 2010","2 : 00 pm","2405 Siebel Center","Forti year Fun With Comput","Dan Ingall good fortun creat least assist birth number core technolog take grant day In talk present perspect : The forc brought qualiti give power liveli make fun"
"Tuesday Decemb 07 2010","12 : 00 1 : 00 pm","2405 Siebel Center","Bo Lu Engineer In Resid","Bo Lu co founder Y Combin compani FutureAdvisor innov web base way deliv high qualiti financi advic scale Befor co found FutureAdvisor ran Photo Share featur team part Window Phone 7 project Program Manag Microsoft Seattl He graduat Univers Illinoi Urbana Champaign 2004 Comput Scienc minor Technolog Manag To regist talk pleas http : go.cs.illinois.edu bolueir Office hour held 1 : 30 4 To sign offic hour http : go.cs.illinois.edu boluofficehour"
"Tuesday Januari 25 2011","4 : 30 pm","2405 Siebel Center","Cazoodl Info Session","Join forc build generat Web search engin What See live demo novel search engin Talk brilliant engin team.Submit Resum cours Get Hire Full time Part time hour Summer Internships.Eat Pizza We understand student long ago More Cazoodl : Cazoodl web search compani found Dr Kevin Chang faculti Comput Scienc Depart UIUC team graduat student The compani special build new kind search engin serv user need special domain The current applic search engin Apartment Rental Electron Shop Vacat Hous Sever applic pipelin The compani commerci Data Factori technolog support web data gather need enterpris custom US Armi largest media compani Brazil The compani base Research Park Champaign Illinoi job @ cazoodle.comwww.cazoodle.com"
"Monday Januari 31 2011","12 : 00 1 : 00 pm","2405 Siebel Center","yahoo Technic Talk : Web Perform Optimiz Betti Tso","Come eat pizza Win raffl prize"
"Monday Januari 31 2011","5 : 00 pm","1st Floor Atrium Siebel Center","TCC After Hour","Regist http : go.cs.illinois.edu afterhours11"
"Wednesday Februari 02 2011","7 : 00 8 : 00 pm","2405 Siebel Center","Googl Android Tech Talk","Android Tech Talk : 7pm 8pm Come hear excit talk Android grab food RSVP join raffl awesom prize Pleas sign event RSVP form RSVPing help know peopl order food welcom Also ECS Career Fair 2 1 stop booth say hello We hire : Pleas visit google.com student eng view full time job opportun google.com student intern view internship opportun submit resum today We host campus interview softwar engin internship role Februari 2 To consid campus interview pleas submit resum onlin google.com student intern Januari 17th you stay touch check Googl Student blog follow Twitter ( @ googlestud ) view student youTub channel learn interview process"
"Monday Februari 07 2011","5 : 00 pm","2405 Siebel Center","Jump Trade : Microsecond Matter","Microsecond Matter Jump Trade global posit financi technolog firm remain cut edg algorithm trade Be Best We pride industri leader quiet set standard sophist trade strategi Rise Challeng We afraid problem abl solv Learn jump approach reduc latenc algorithm trade www.jumptrading.com"
"Monday Februari 07 2011","7 : 00 pm","ACM Office ( 1104 Siebel )","ACM Board Game Night","Come ACM offic tonight enjoy pizza board game Everyon welcom It ACM Activiti Week We'r scari think"
"Tuesday Februari 08 2011","7 : 00 pm","ACM Office ( 1104 Siebel )","ACM Mini Casino Night","Stop ACM offic play blackjack poker enjoy snack Everyon welcom It ACM Activiti Week We'r scari think"
"Wednesday Februari 09 2011","5 : 00 pm","151 Everitt Lab","Whi Softwar Is Important At Intel","This discuss give general overview softwar Intel Jason describ detail number softwar project Intel import exampl project effect real world today The present expos side peopl don’t know Intel Jason work Senior Softwar Engineer Intel 9 year focus design infrastructur Parallel Tool Open All | Pizza provid talk"
