"Monday, March 27, 2006",3:00 - 4:30 pm,210 Illini Union,The Job Search in Consulting,"This workshop will discuss consulting job search strategies for grad students. It will provide information about how to begin and organize the job search, what strategies are most effective, how to research organizations, and where to find other helpful resources."
"Thursday, October 22, 2009",6:00 pm,1404 Siebel Center,"State Farm presents: ""Normal"" Considered Harmful (Or, How Much Like Frogs Are We Computerists?) by Dr. Alan Kay"," Abstract: Several notable times in the history of computing, our field has been able to escape from an entrenched orthodoxy which conditioned most thinking about what ""should"" and ""shouldn’t"" be thought about and worked on. In order to do this, concepts such as ""normal"", and ""the way things are"" had to be perceived as constructions rather than ""reality"" and ""necessity"". Could we again be in need of questioning the current ""reality""? Bio: Dr. Alan Kay is one of the pioneers of object-oriented programming, personal computing, and graphical user interfaces. Dr. Kay’s contributions have been acknowledged with the Charles Stark Draper Prize from the National Academy of Engineering, the A.M. Turing Award from the Association of Computing Machinery, and the Kyoto Prize from the Inamori Foundation. Alan is an adjunct professor of computer science at UCLA, a visiting professor at Kyoto University, and an advisor to One Laptop per Child. He has held fellow positions at HP, Disney, Apple, and Xerox, and served as chief scientist at Atari. At Viewpoints Research, Alan continues his work with ""powerful ideas education"" for the world’s children, and the development of advanced personal computers and networking systems. He is a fellow of the American Academy of Arts & Sciences, the National Academy of Engineering, the Royal Society of Arts, and the Computer History Museum. His other honors include the ACM Systems Software Award, the NEC Computers & Communication Foundation Prize, and honorary doctorates from Georgia Institute of Technology, the University of Pisa, and the University of Waterloo. "
"Wednesday, October 28, 2009",5:30 pm,2405 Siebel Center,User Experience @ Google," One of Google's core principles is ""Focus on the user and all else will follow.""   A member of Google's User Experience team, Asif Baki, will discuss what it  takes to focus on the user and the company's approach to design and  research when developing products.  Come learn about User Experience @ Google at this exciting event:User Experience @ Google Speaker: Asif Baki, Google User Experience Researcher & UIUC Alum! October 28, 2009 (tomorrow!) @ 5:30pmSiebel 2405If you have questions about job opportunities, please feel free to contact: Jessica Bagley at jbagley@google.com "
"Wednesday, November 04, 2009",2:15 pm,"Alice Campbell Alumni Center601 South Lincoln Avenue, Urbana","Rethinking Computing: Craig Mundie, Chief Research and Strategy Officer, Microsoft","“We're really trying to change the nature of software...to move it beyond the point and click model of computing to something where people will have a much more natural way of interacting with the machines...I think increasingly we'll be able to talk to our computer and it will talk back...it may even be possible for it to anticipate some of the things we want to do and just do them for us.” -- Craig Mundie, Chief Research and Strategy Officer, Microsoft Please join us for a special presentation by Craig Mundie, chief research and strategy officer of Microsoft. Craig is one of two senior executives who took over from Bill Gates. He is responsible for the company’s long-term technology strategy. Craig will talk about how software and information technology can help solve the most pressing global challenges we face today. He will demonstrate a number of current and future-looking technologies that show how computer science is changing scientific exploration and discovery in exciting ways. Craig will discuss the role of new science in solving the global energy crisis, and answer questions from the audience. For more information about Microsoft and Craig Mundie, visit www.microsoft.com/presspass/exec/craig Doors open at 2pm"
"Thursday, November 05, 2009",6:00 pm,2405 Siebel Center,Zynga Company Presentation,"Meet Luke Rajlich and Joel Poloney from Farmville! HIRING FOR DEC & MAY/JUNE FULL-TIME & SUMMER INTERNSHIP OPPORTUNITIES! Submit your resume to http://engineering.illinois.edu/careers and blarson@zynga.com ASAP! Free food, giveaways and we're raffling off a Netbook!"
"Wednesday, November 18, 2009",6:00 pm,2405 Siebel Center,Inside the Programmer's Studio with Jen Mozen of ThoughtWorks,"Jen Mozen is a Principal Consultant at ThoughtWorks, a global IT consultancy providing systems development, consulting, and transformation services and products to Global 1000 companies. During her 8+ years with ThoughtWorks, Jen has played a variety of roles: Support Manager, Business Analyst, Project Manager, Global Operations Manager and Assisstant to the COO, Director of People and Client Principal. She also had the opportunity to live in London for a year and has traveled the world, visiting ThoughtWorks offices and clients in Australia, Canada, China, India, Scotland and Spain. Jen started her career at Procter & Gamble in Cincinnati where she was part of the team that rolled out the company’s first intranet platform. She led the development of many of the first intranet applications and consulted with a variety of different business groups to develop their intranet strategy. A few years later, Jen got swooped up in the dot-com craze and joined an internet startup called PlanetFeedback, where she managed the development team. Jen received a Bachelor’s degree in Computer Science with a concentration in International Economics from the University of Illinois – Urbana/Champaign. She was heavily involved in student activities on campus and served as the President of the Society of Women Engineers, Publicity Director for EOH, and Engineering Learning Assistant. Jen was named to the Senior 100 Honorary, received the Duncan H. Lawrie Award for Leadership and was named a Knight of St. Patrick.      "
"Thursday, November 19, 2009",12:00 pm,2405 Siebel Center,Engineer in Residence: Jen Mozen of ThoughtWorks,"Title: Consulting: Unplugged  Abstract:   What is a consultant? For many, the term conjures up images of sharply dressed strategic advisors who swoop in to save their clients from imminent disaster – James Bond armed with a laptop instead of the laser-firing wrist watch.  In reality, a consultant is a professional problem solver, and while the problems he or she faces are often mission-critical, there are rarely tuxedos or high-speed chases involved. As a Principal Consultant with ThoughtWorks, Jen has helped clients of all shapes and sizes from around the world successfully leverage technology to improve their businesses. Jen will help demystify the life of a consultant and offer advice for students contemplating a career in consulting.   Bio:   Jen Mozen is a Principal Consultant at ThoughtWorks, a global IT consultancy providing systems development, consulting, and transformation services and products to Global 1000 companies. During her 8+ years with ThoughtWorks, Jen has played a variety of roles: Support Manager, Business Analyst, Project Manager, Global Operations Manager and Assisstant to the COO, Director of People and Client Principal. She also had the opportunity to live in London for a year and has traveled the world, visiting ThoughtWorks offices and clients in Australia, Canada, China, India, Scotland and Spain. Jen started her career at Procter & Gamble in Cincinnati where she was part of the team that rolled out the company’s first intranet platform. She led the development of many of the first intranet applications and consulted with a variety of different business groups to develop their intranet strategy. A few years later, Jen got swooped up in the dot-com craze and joined an internet startup called PlanetFeedback, where she managed the development team. Jen received a Bachelor’s degree in Computer Science with a concentration in International Economics from the University of Illinois – Urbana/Champaign. She was heavily involved in student activities on campus and served as the President of the Society of Women Engineers, Publicity Director for EOH, and Engineering Learning Assistant. Jen was named to the Senior 100 Honorary, received the Duncan H. Lawrie Award for Leadership and was named a Knight of St. Patrick.         "
"Thursday, January 28, 2010",6:00 pm,2405 Siebel Center,JumpTrading Tech Talk,Please check back for more details
"Tuesday, February 02, 2010",All Day,"1st Floor Atrium, Siebel Center",Qualcomm Corporate Day,Please check back for more information
"Monday, February 08, 2010",7:00 pm,2405 Siebel Center,Facebook Tech Talk,Interested in what it's like to impact over 350 million people? We are looking for talented Illini computer scientists for internship and full-time opportunities. Join the Facebook team and Illinois alums Dan Muriello and Gint Woss for an informative talk about how our search product works as well as how we keep the site safe for our users. RSVP @ www.facebook.com/illinoistechtalk Food and drink provided
"Tuesday, February 09, 2010",5:00 - 7:00 pm,"1st Floor Atrium, Siebel Center",TCC After Hours,"It's about personal connections - not dropping resumes and fighting crowds. Meet the companies who want to hire you in a relaxed setting. Enjoy some hors d'oeuvres. Chat with company representatives. Discover the challenges and opportunities that await. No resumes. No booths. No crowds. No collared shirts. Just you, companies who want to hire you, conversation, some food, and some drink.  Space is limited. Register now at http://go.illinois.edu/AfterHours10.  For a complete list of companies attending, visit The Corporate Connection website.       * - You and other CS and ECE students. But only CS and ECE students. Well, our CORPORATE PARTNERS will be there too. Oh, and the caterers. But that's it. Seriously."
"Wednesday, February 10, 2010",5:30 pm,2405 Siebel Center,Google Tech Talk,"Google's mission is to organize the world's information and make it universally accessible and useful. It's an enormous goal to accomplish and we need great people to help us achieve it!At Google, we do more. A lot more. Come learn about Google and meet our Googlers at this exciting event:Tuesday, February 10Tech Talk5:30 - 6:30pmSiebel 2405Speaker: Angela Lai, Engineering Director for Google AdWordsWe're still looking for internship and full-time opportunities in 2010! Visit www.google.com/students to submit your application today! Please contact Jessica Bagley at jbagley@google.com with any questions.  "
"Thursday, February 11, 2010",5:30 pm,2405 Siebel Center,Lawrence Livermore National Labs Tech Talk,
"Thursday, February 18, 2010",5:30 pm,2405 Siebel Center,"Challenges in High-Performance, Massive-Scale Data Mining at Facebook - given by Data Scientist and UIUC Alum Dennis DeCoste","The users of Facebook generate one of the largest and most unique stream of data in the world, arising from over 400 million active users viewing, fanning, sharing, and clicking on billions of pages, photos, ads, etc. per month. Scaling systems and algorithms to effectively store and process such massive data presents enormous and exciting engineering challenges. It also presents unique opportunities to motivate, inspire and test new ideas in how to best harness and mine such large social and behavioral data sets, to improve the overall experience for all Facebook's users. In this talk, we will overview many of these challenges and opportunities. We will discuss both the engineering components that enable our ongoing large-scale machine learning research and development efforts, as well as the wide variety of Facebook products that this work impacts, including news feed, ads, search, friend recommendation, and spam detection.Speaker: Dennis DeCoste (UIUC Alum and FB Data Scientist)We'll have some food and drinks, but do us a favor and RSVP so that we know to expect you. Also, add any of your friends to this event that you think might be interested as well. This is targeted to graduate students and faculty and will be a technical talk.We look forward to seeing you this week!  "
"Wednesday, March 03, 2010",7:00 pm,2405 Siebel Center,Google Tech Talk,"Google, A Corporate Connection Partner  Wednesday, March 3    7pm 2405 Siebel Center   Jason Cooper, Developer Programs Engineer at Google, will discuss a variety of Google APIs and developer products that are available, exploring a few in greater detail, and provide a few examples showing how they are used in the wild. "
"Friday, April 30, 2010",2:30 pm,2nd Floor Atrium,Undergraduate Research Symposium Poster Session,The 2010 Undergraduate Research Symposium will showcase the research opportunities for undergraduates in Computer Science at Illinois. The symposium will include a poster session and a conference-style presentation session for the two submissions chosen as the Yahoo! Best Undergraduate Research Projects.
"Friday, April 30, 2010",5:00 pm,1404 Siebel Center,Department of Computer Science Awards Ceremony,Honoring the many outstanding accomplishments of computer science students and faculty
"Monday, August 23, 2010",9:00 am - 4:00 pm,Siebel Center Atrium,Technology Services Group (TSG) Open House,Stop by the TSG table in the Siebel Center Atrium to find out about the computing resources available to you as a CS undergrad or grad student.
"Friday, September 03, 2010",11:30 am - 12:30 pm,2405 Siebel Center,"Engineer In Residence, Sizhao ""Zao"" Yang","Bio:   Sizhao “Zao” Yang was the CEO and co-founder of MyMiniLife. MyMiniLife allows users to express their physical life on the web by creating virtual homes. Zao co-created the popular Facebook game Farmville from MyMiniLife technology. Farmville has 80 million monthly active users and won best social games at DICE, GDC, and the crunchies. Zao is currently working in Corporate Development/Strategy at Zynga. Office hours will be from 8:45-11:15am. Register here for office hours at http://go.cs.illinois.edu/ZaoOneonOne.  Register here: http://go.cs.illinois.edu/ZaoEIR"
"Tuesday, September 07, 2010",All Day,Siebel Center,State Farm Corporate Day,"Stop by the State Farm booth in the Siebel Center Atrium from 11-4.  Come to room 2405 Siebel Center at 6pm to ""Discover State Farm IT"". Papa Del's provided!"
"Wednesday, September 08, 2010",6:00 pm,2405 Siebel Center,JumpTrading Tech Talk: Reducing Latency in Algorithmic Trading,Learn More about Jump and their approaches to reducing latency in algorithmic trading. Free pizza from Papa Del's Learn more at www.jumptrading.com
"Thursday, September 09, 2010",All Day,2405 Siebel Center,Google Corporate Day,"Google's mission is to organize the world's information and make it universally accessible and useful. It's an enormous goal to accomplish and we need great people to help us achieve it! At Google, we do more. A lot more.Come learn about Google and meet our Googlers at these exciting events! When: Thursday, September 9thWhere: Siebel 2405 Resume/Interview Workshop: 5:30pm-6:30pm, Get insight into what we look for in resumes & tips on interviewing Lightning Tech Talks: 7pm-8pm, Come hear about exciting engineering projects!  ** Please sign up for these events on this RSVP form. RSVPing helps us know how many people to order food for, but everyone is welcome!**   We are hiring: Please visit google.com/students/eng to view job opportunities and submit your resume today. We will be hosting on-campus interviews for full-time software engineering roles on September 30th. To be considered for on-campus interviews, please submit your resume online by September 17th.    The summer 2011 intern application will be available online soon.   You can stay in touch with us by checking out the Google Students blog, following us on Twitter (@googlestudents), and viewing the student YouTube channel where you can learn more about the interview process."
"Tuesday, September 14, 2010",All Day,Siebel Center,Cisco Corporate Day,Please check back for more information
"Wednesday, September 15, 2010",5:00 - 7:00 pm,1st Floor Siebel Center,The Corporate Connection After Hours,"   An exclusive* career reception for YOU.            What:  Informal career reception, exclusively for CS and ECE students   When: September 15, 2010 from 5-7 p.m. (after Day 1 of the Engineering Career Services Career Fair)   Where: Thomas M. Siebel Center for Computer Science Atrium      It's about personal connections - not dropping resumes and fighting crowds. Meet the companies who want to hire you in a relaxed setting. Enjoy some hors d'oeuvres. Chat with company representatives. Discover the challenges and opportunities that await.  No resumes. No booths. No crowds. No collared shirts. Just you, companies who want to hire you, conversation, some food, and some drink. Space is limited. Register now at http://go.illinois.edu/AfterHours10 For a complete list of companies attending, visit The Corporate Connection website.   * - You and other CS and ECE students. But only CS and ECE students. Well, our CORPORATE PARTNERS will be there too. Oh, and the caterers. But that's it. Seriously.           "
"Tuesday, September 21, 2010",6:30 pm,2405 Siebel Center,Microsoft: Meet the Company,"        Meet the Company Presentation   Alumni, Recruiter, and Former Intern Presentations   Tuesday, September 21, 2010 2405 Siebel Center 6:30-8:00pm   Free food, XBOX 360 giveaway, and other prizes!   Bring your resume!               "
"Wednesday, September 22, 2010",5:30 pm,2405 Siebel Center,Cazoodle Info Session,"  Hiring Software Engineers!         Join forces to build next generation of Web search engines. What’ s in it for you?   See live demos of novel search engines     Talk to the brilliant engineering team      Submit Resume, and of course, Get Hired!          Full time        Part-time hourly        Summer Internships            Eat Pizza! We understand… we were students too, not too long ago.   More about Cazoodle: Cazoodle is a web search company, founded by Dr. Kevin Chang, a faculty in Computer Science Department at UIUC, and his team of graduate students. The company specializes in building new kinds of search engines, serving user needs in specialized domains. The current applications include search engines for Apartment Rentals, Electronics Shopping, and Vacation Housing. Several more applications are in pipeline. The company also commercializes its Data Factory technology to support the web data gathering needs of other enterprise customers including US Army, largest media company in Brazil, and several others. The company is based in the Research Park in Champaign Illinois.  jobs@cazoodle.com  www.cazoodle.com       "
"Monday, September 27, 2010",9:00 am - 5:00 pm,1st Floor Siebel Center,Wolfram Research Corporate Day,Stop by the atrium beginning at 9am -See Mathematica and Wolfram|Alpha Demonstrations -Grab Snacks & Spin for Prizes -Ask HR Recruiting & Senior Technical Staff Your Questions There will be a drawing for a free iPad at the evening Tech Talk
"Monday, September 27, 2010",5:30 pm,1404 Siebel Center,Wolfram Research Tech Talk,Q&A Sessions and a drawing for a free iPad!    
"Wednesday, September 29, 2010",5:00 - 6:00 pm,1404 Siebel Center,Big Data and the Future of Internet Scale Cloud Computing," Today, every click on Yahoo! relies on the company’s massive cloud computing infrastructure. Hundreds of Yahoo! Web sites visited by more than 600 million users worldwide each month produce massive pipelines of Big Data, with incredible business value. Processing and transforming that data is the key to creating increasingly relevant Internet experiences for people around the world. This talk will explore some of the emerging trends and challenges that the industry will face as cloud computing adoption continues on its sharp increase.     Looking to the future, Yahoo!’s vision for the cloud is closely intertwined with open source computing. Today, key components of Yahoo!’s cloud are available to the open source community, and in the future, more of that stack will be donated. Yahoo!’s cloud team in partnership with scientists from Yahoo! Labs, have deployed the world’s largest Hadoop implementations, to create a foundation for a more personally meaningful Web.         Raghu Ramakrishnan is Chief Scientist for Audience and Cloud Computing at Yahoo!, and is a Yahoo! Fellow, heading the Web Information Management research group. His work in database systems, with a focus on data mining, query optimization, and web-scale data management, has influenced query optimization in commercial database systems and the design of window functions in SQL:1999. His paper on the Birch clustering algorithm received the SIGMOD 10-Year Test-of-Time award, and he has written the widely-used text ""Database Management Systems"" (with Johannes Gehrke). Ramakrishnan has received several awards, including the ACM SIGKDD Innovations Award, the ACM SIGMOD Contributions Award, a Distinguished Alumnus Award from IIT Madras, a Packard Foundation Fellowship in Science and Engineering, and an NSF Presidential Young Investigator Award. He is a Fellow of the ACM and IEEE.       Ramakrishnan is on the Board of Directors of ACM SIGKDD, and is a past Chair of ACM SIGMOD and the Board of Trustees of the VLDB Endowment. He was Professor of Computer Sciences at the University of Wisconsin-Madison, and was founder and CTO of QUIQ, a company that pioneered question-answering communities, powering Ask Jeeves' AnswerPoint as well as customer-support for companies such as Compaq."
"Monday, October 11, 2010",5:30 pm,1404 Siebel Center,The Inside Story of New Initiatives at Wolfram Research,
"Monday, October 11, 2010",7:00 pm,2405 Siebel Center,Zynga Information Session,
"Wednesday, October 13, 2010",6:00 pm,2405 Siebel Center,Palantir,"DITCH THE SUIT. BE THE TRACK JACKET   Please join Ari Gesher, Senior Software Engineer at Palantir Technologies, who will discuss how Palantir is revolutionizing the analysis of hard and important problems that face our world today. View a live demo of our software, and learn how you can be a part of our mission. IPAD RAFFLE AND PAPA DEL'S"
"Thursday, October 14, 2010",12:00 pm,2405 Siebel Center,Engineer in Residence: Andrew Brook,"Andrew will give a talk from 12-1 and hold office hours from 1:30-4. To RSVP for the talk, please go to: http://go.cs.illinois.edu/BrookEIR. To register for office hours, please go to http://go.cs.illinois.edu/BrookOneonOne.    Andrew Brook is the Chief Technology Officer for Selerity, a technology start-up focused on real-time event data for the financial services industry. Andrew is responsible for the overall architecture, development, and strategy of the firm’s technology infrastructure and operations. Immediately prior to Selerity, Andrew was the Executive Director responsible for Morgan Stanley’s foreign exchange (FX) e-commerce platform, providing low-latency pricing and execution services to the firm's clients. Previous to Morgan Stanley, Andrew managed the FX Prime Brokerage Technology, FX Electronic Trading Technology, and Market Risk Technology teams for the Global Corporate and Investment Banking division of Bank of America. Andrew was also the co-founder of an early stage venture that delivered innovative scheduling software to the agile manufacturing sector. In his free time, Andrew avidly follows developments in the fields of climate science, energy technology, public policy and enjoys spending time with his family in the outdoors. Andrew holds a B.S. in Computer Science from the University of Illinois at Urbana-Champaign and lives with his wife and daughter in Jersey City, NJ."
"Thursday, October 14, 2010",5:30 pm,2405 Siebel  Center,IGT Tech Talk,
"Thursday, October 21, 2010",4:00 - 7:00 pm,"Siebel Center, Room 2405",Celbration of Mind: Gathering for Gardner at the Siebel Center,"Celebration of Mind: Gathering for Gardner at the Siebel Center   October 21 would have been Martin Gardner's 96th birthday.   More than 50 worldwide event will be held to celebrate, with details at: http://g4g-com.org   The Urbana-Champaign area events will be held at the Siebel Center, room 2405, from 4 to 7pm. It is open to the general public. Speakers will include several people from both UIUC and Wolfram Research, who will give a variety of short presentations of interesting mathematics.   Here are a few puzzles Martin posed in his column, Mathematical Games, which ran in Scientific American:   1. Arrange squares of size 1-24 in a 70x70 square. 2. Arrange letters in a 4x4 grid so that it has 20 4-letter words up, down, left, right, and diagonally. 3. How many colors are needed to color a map?   We also will have a page table. Anyone who so desires can bring 50 copies of a page with content relevant to this event (short math, puzzles, etc.). This is a quick way for people to share their work.   We hope to see you there!   Answers for the questions above:   1. Proven impossible by Edward M. Reingold and James Bitner from UIUC. Also found a solution without the 7x7 square. 2. Solved only by L. E. Card from UIUC. S N A P A E R A R A I L T R A P 3. Proven to be 4, by Wolfgang Haken and Kenneth Appel from UIUC.  "
"Saturday, October 23, 2010",12:00 pm,0216 Siebel,ACM Gamebuild-A-Thon,"Join ACM Gamebuilders for Gamebuild-A-Thon, a 12 hour design and programming competition! On Saturday, October 23 starting at 12 noon, work in teams of up to three to make your own variation of a platformer game written in Flash and ActionScript. Go to http://acm.uiuc.edu/gamebuilders to sign up. Dinner sponsored by Zynga, prizes sponsored by Microsoft!"
"Thursday, October 28, 2010",3:00 pm,B02 Coordinated Science Lab,Special Seminar: What do you do with a Billion Transistors?,"The concept of multiprocessing is not new. It has been around for many years. But what has given the concept a rebirth is the advancement of integrated circuit technology. We can now, with confidence, say that we will be able to put billions of transistors on one piece of silicon. We call it System on a Chip (SoC). But with that realization, we have discovered not all is goodness. This talk will look at multiprocessing, or multicore as some call it, and highlight both the goodness and the difficulties we face in this new world of options. Gene FrantzTI Principal FellowTexas InstrumentsGene Frantz has been with Texas Instruments for over thirty years, working primarily in digital signal processing (DSP). He is a recognized leader in DSP technology both within TI and throughout the industry. He is a Fellow of IEEE and holds 45 patents in the area of memories, speech, consumer products, and DSP. He has written more than 50 papers and articles and regularly presents at universities and conferences worldwide."
